2022/8/29 上午 11:36:06	This log contains information about the import schema operation into project 'Schema' on computer 'AN990154054' by user '11107063'.
2022/8/29 上午 11:36:07	Import of database schema has started.
2022/8/29 上午 11:36:09	Gathering database credentials
2022/8/29 上午 11:36:09	Gathering database options
2022/8/29 上午 11:36:09	Gathering generic database scoped configuration option
2022/8/29 上午 11:36:09	Gathering users
2022/8/29 上午 11:36:09	Gathering roles
2022/8/29 上午 11:36:09	Gathering application roles
2022/8/29 上午 11:36:09	Gathering role memberships
2022/8/29 上午 11:36:09	Gathering filegroups
2022/8/29 上午 11:36:09	Gathering full-text catalogs
2022/8/29 上午 11:36:09	Gathering assemblies
2022/8/29 上午 11:36:09	Gathering certificates
2022/8/29 上午 11:36:09	Gathering asymmetric keys
2022/8/29 上午 11:36:09	Gathering symmetric keys
2022/8/29 上午 11:36:09	Gathering encrypted symmetric keys
2022/8/29 上午 11:36:09	Gathering schemas
2022/8/29 上午 11:36:09	Gathering XML schema collections
2022/8/29 上午 11:36:09	Gathering user-defined data types
2022/8/29 上午 11:36:09	Gathering user-defined types
2022/8/29 上午 11:36:09	Gathering table types
2022/8/29 上午 11:36:09	Gathering unique keys for table types
2022/8/29 上午 11:36:09	Gathering primary keys for table types
2022/8/29 上午 11:36:09	Gathering indexes for table types
2022/8/29 上午 11:36:09	Gathering check constraints for table types
2022/8/29 上午 11:36:09	Gathering default constraints for table types
2022/8/29 上午 11:36:09	Gathering partition functions
2022/8/29 上午 11:36:09	Gathering partition schemes
2022/8/29 上午 11:36:09	Gathering functions
2022/8/29 上午 11:36:09	Gathering encrypted functions
2022/8/29 上午 11:36:09	Gathering aggregates
2022/8/29 上午 11:36:09	Gathering procedures
2022/8/29 上午 11:36:09	Gathering encrypted procedures
2022/8/29 上午 11:36:09	Gathering tables
2022/8/29 上午 11:36:09	Gathering primary keys
2022/8/29 上午 11:36:09	Gathering unique constraints
2022/8/29 上午 11:36:09	Gathering foreign keys
2022/8/29 上午 11:36:09	Gathering default constraints
2022/8/29 上午 11:36:09	Gathering check constraints
2022/8/29 上午 11:36:09	Gathering views
2022/8/29 上午 11:36:09	Gathering encrypted views
2022/8/29 上午 11:36:09	Gathering indexes
2022/8/29 上午 11:36:09	Gathering statistics
2022/8/29 上午 11:36:09	Gathering full-text index stoplists
2022/8/29 上午 11:36:09	Gathering search property lists
2022/8/29 上午 11:36:09	Gathering search properties
2022/8/29 上午 11:36:09	Gathering full-text indexes
2022/8/29 上午 11:36:09	Gathering column store indexes
2022/8/29 上午 11:36:09	Gathering spatial indexes
2022/8/29 上午 11:36:09	Gathering XML indexes
2022/8/29 上午 11:36:09	Gathering Selective XML indexes
2022/8/29 上午 11:36:09	Gathering encrypted triggers
2022/8/29 上午 11:36:09	Gathering triggers
2022/8/29 上午 11:36:09	Gathering encrypted and clr ddl triggers
2022/8/29 上午 11:36:09	Gathering ddl triggers
2022/8/29 上午 11:36:09	Creating edge constraints
2022/8/29 上午 11:36:09	Gathering synonyms
2022/8/29 上午 11:36:09	Gathering defaults
2022/8/29 上午 11:36:09	Gathering data constraint uddt bindings
2022/8/29 上午 11:36:09	Gathering rules
2022/8/29 上午 11:36:09	Gathering data constraint uddt bindings
2022/8/29 上午 11:36:09	Gathering message types
2022/8/29 上午 11:36:09	Gathering queues
2022/8/29 上午 11:36:09	Gathering contracts
2022/8/29 上午 11:36:09	Gathering services
2022/8/29 上午 11:36:09	Gathering event notifications
2022/8/29 上午 11:36:09	Gathering remote service bindings
2022/8/29 上午 11:36:09	Gathering broker priorities
2022/8/29 上午 11:36:09	Gathering signatures
2022/8/29 上午 11:36:09	Gathering data compression options
2022/8/29 上午 11:36:09	Gathering sequence types
2022/8/29 上午 11:36:09	Gathering security policies
2022/8/29 上午 11:36:09	Gather column encryption keys
2022/8/29 上午 11:36:09	Gathering column master keys
2022/8/29 上午 11:36:09	Gathering external data sources
2022/8/29 上午 11:36:09	Gathering external file formats
2022/8/29 上午 11:36:09	Gathering external tables
2022/8/29 上午 11:36:09	Gathering extended properties
2022/8/29 上午 11:36:09	Gathering assemblies
2022/8/29 上午 11:36:10	Gathering credentials
2022/8/29 上午 11:36:10	Gathering logins
2022/8/29 上午 11:36:10	Gathering server audits
2022/8/29 上午 11:36:10	Scanning project for duplicate elements
2022/8/29 上午 11:36:10	Finished duplicate element processing
2022/8/29 上午 11:36:10	Finished importing database.
2022/8/29 上午 11:36:10	A summary of the import was saved to the following location: D:\Test\MyProject\Database\Schema\Schema\Schema\Import Schema Logs\Schema_20220829033606.log
2022/8/29 上午 11:36:10	Click Finish to continue...
